Corpus,Amount,Duplicates
189741193,3,189741193 162373756 188546287
146860772,3,147449633 146860772 145617889
210352589,3,212662809 146248988 210352589
18534830,3,201948457 54474726 18534830
28354067,3,78288712 208235969 28354067
136864766,3,206785313 136864766 189770271
26046117,3,4427908 197220637 26046117
151629087,3,211192546 145891411 151629087
8038683,3,34274736 8038683 17563861
24804831,3,3052084 25101308 24804831
189913557,3,45182057 189913557 6781863
39488365,3,209694173 39488365 203896238
169150780,3,169948401 170060252 169150780
40863716,3,32202418 40863716 7134094
163377990,3,163359473 184932674 163377990
124890550,3,187380187 125701830 124890550
8870642,3,204938458 8870642 27111283
14037375,3,196941224 46003010 14037375
92314401,3,92314401 92417012 91616582
153557793,3,158472344 153557793 157916386
88621382,3,100151489 88621382 77797591
83913323,3,83913323 84747988 85429701
95892699,3,93095914 95892699 119614358
209834753,3,209834753 89788093 90613262
195708746,3,139107363 195708746 84075
5665262,3,24094014 41199589 5665262
204101756,3,204125332 204101756 204134673
195300560,3,154701280 195301386 195300560
76365410,3,72395480 76365410 208485107
188541219,3,186637650 188541219 211716223
119348748,3,14319753 15095914 119348748
37629748,3,26646128 34630593 37629748
147177051,3,202350649 147177051 170127196
16129974,3,84988489 90117494 16129974
143980225,3,163767769 147670266 143980225
39821924,3,11953672 39821924 28413924
203336729,3,203336729 54585764 199608310
81995023,3,198139947 198137748 81995023
93015546,3,93015546 93902821 93190974
197136483,3,197136483 90567445 196720739
51613851,3,51613851 150590355 3776135
79395805,3,78927889 79395805 86588589
28138932,3,203393376 8013225 28138932
110076060,3,110076060 114728644 113622357
154858505,3,198697289 154858505 154724070
187668494,3,134762441 187668494 188440359
35629448,3,35629448 52856082 10365437
26188576,3,26188576 30913028 6410213
53721289,3,53721289 52892684 52889861
203869052,3,6529184 203869052 28866871
17280118,3,18741432 115177877 17280118
68714680,3,68714680 68280105 67885885
53227028,3,34749192 53227028 53784589
6384220,3,46461272 41037819 6384220
52848720,3,34796416 38277179 52848720
208505853,3,208506430 208505853 208500214
79159605,3,208216909 79159605 34781006
189953105,3,189953328 189953105 189952925
81979064,3,81979064 53565295 81591399
134905563,3,204248522 134905563 53151637
196804254,3,52259635 196804254 98858254
14263793,3,14263793 16570406 16645439
169322666,3,169322666 169264219 199332710
52150117,3,53948404 52150117 52960727
94848776,3,94848776 205194636 98344815
165669904,3,165669904 165943946 204470132
13404794,3,13404794 195882725 195881183
6846632,3,6846632 119386706 123725720
44605647,3,41038582 35990350 44605647
209223960,3,209223960 54550358 1645766
36798688,3,36798688 45432888 78234915
77539241,3,77539241 40114684 39584813
138932646,3,21614732 32197372 138932646
15989222,3,29741258 195709709 15989222
14600063,3,29741258 37471978 14600063
13372795,3,29741258 195916850 13372795
26364350,3,211192546 9708411 26364350
23579931,3,208793571 72855473 23579931
110060479,3,211192546 164050086 110060479
14308178,2,14308178 11282407
3899149,2,3899149 4050397
3911302,2,3919291 3911302
43949491,2,43949491 43948965
129778988,2,129778988 128582491
17460632,2,17460632 1909056
129945380,2,189763288 129945380
14460491,2,14460491 196437517
151478310,2,4867100 151478310
23169403,2,23169403 3672399
198969679,2,85704360 198969679
37344604,2,10718485 37344604
61458403,2,24839100 61458403
212969074,2,210707961 212969074
73416890,2,73416890 133606644
18765753,2,144706904 18765753
198123500,2,198123500 198968606
4256426,2,20293737 4256426
149668262,2,150356852 149668262
156617343,2,146832874 156617343
35221971,2,35221971 79061868
51928309,2,215144887 51928309
11366236,2,53243656 11366236
59577504,2,59577504 59272964
47247557,2,13359643 47247557
203728172,2,33665324 203728172
135953386,2,135953386 136345226
53427897,2,53442424 53427897
212620698,2,212620698 208788181
54570260,2,54570260 32833622
26506207,2,72629569 26506207
40271185,2,40271185 60554567
54352286,2,54250763 54352286
195097708,2,195132299 195097708
8326211,2,209242138 8326211
3839796,2,84012692 3839796
134368226,2,211598121 134368226
84377354,2,23084689 84377354
196702942,2,94177365 196702942
141667615,2,83015968 141667615
62600805,2,62600805 641127
58307266,2,58307266 54797955
104294496,2,104294496 53821474
20219429,2,196478196 20219429
9088275,2,9088275 46282214
195137596,2,195277856 195137596
145272225,2,53153824 145272225
73115787,2,20507691 73115787
97190060,2,97190060 196918558
195342650,2,195342650 94390716
81977455,2,81977455 141462767
16521137,2,16521137 11106799
111066359,2,173180420 111066359
91899631,2,201837221 91899631
21212726,2,70713424 21212726
169622992,2,169622992 139996418
22438031,2,196789482 22438031
208286339,2,208286339 203737109
